,County,Percent_Households_Below_Poverty_Level,Median_Age,Homeowner_Vacancy_Rate,Percent_Pop_25_And_Over_With_College_Or_Higher_Educ
0,"Autauga, Alabama",14.7,38.2,1.4,26.6
1,"Baldwin, Alabama",10.5,43.0,3.3,31.9
2,"Barbour, Alabama",27.5,40.4,3.8,11.6
3,"Bibb, Alabama",18.4,40.9,1.5,10.4
4,"Blount, Alabama",14.2,40.7,0.7,13.1
5,"Bullock, Alabama",28.2,40.2,0.2,12.1
6,"Butler, Alabama",20.5,40.8,3.7,16.1
7,"Calhoun, Alabama",18.0,39.6,2.1,18.5
8,"Chambers, Alabama",18.1,42.0,2.7,13.3
9,"Cherokee, Alabama",15.6,46.5,3.3,12.8
10,"Chilton, Alabama",18.9,38.7,2.9,12.7
11,"Choctaw, Alabama",22.7,46.3,0.6,11.9
12,"Clarke, Alabama",26.1,42.5,1.4,12.2
13,"Clay, Alabama",19.3,43.3,2.0,10.6
14,"Cleburne, Alabama",18.5,43.1,1.0,15.4
15,"Coffee, Alabama",15.2,39.3,2.1,22.8
16,"Colbert, Alabama",16.1,42.4,1.4,18.1
17,"Conecuh, Alabama",18.1,44.8,2.0,12.8
18,"Coosa, Alabama",13.3,48.4,3.7,12.8
19,"Covington, Alabama",18.6,43.3,2.3,15.3
20,"Crenshaw, Alabama",16.4,41.7,1.3,17.4
21,"Cullman, Alabama",15.0,40.8,2.0,13.9
22,"Dale, Alabama",16.4,37.3,1.5,18.1
23,"Dallas, Alabama",26.7,39.6,2.7,14.7
24,"DeKalb, Alabama",20.1,39.5,1.9,13.0
25,"Elmore, Alabama",12.1,38.7,2.7,25.1
26,"Escambia, Alabama",22.8,40.0,2.0,12.5
27,"Etowah, Alabama",17.3,41.4,1.3,17.8
28,"Fayette, Alabama",20.4,43.7,2.0,12.4
29,"Franklin, Alabama",16.0,38.6,3.1,14.0
30,"Geneva, Alabama",21.4,43.2,2.5,12.5
31,"Greene, Alabama",34.5,40.9,1.1,10.1
32,"Hale, Alabama",26.4,40.5,1.3,14.2
33,"Henry, Alabama",16.4,44.4,2.7,17.1
34,"Houston, Alabama",17.3,40.1,2.3,21.7
35,"Jackson, Alabama",18.4,43.1,1.2,14.0
36,"Jefferson, Alabama",16.1,37.7,1.6,33.4
37,"Lamar, Alabama",19.8,44.8,1.2,11.9
38,"Lauderdale, Alabama",16.4,41.0,1.8,23.5
39,"Lawrence, Alabama",17.5,42.4,0.5,12.6
40,"Lee, Alabama",21.1,31.9,1.8,35.3
41,"Limestone, Alabama",13.1,39.7,1.7,25.7
42,"Lowndes, Alabama",28.5,42.0,1.7,14.7
43,"Macon, Alabama",25.5,38.6,1.6,20.4
44,"Madison, Alabama",12.5,38.5,1.3,42.8
45,"Marengo, Alabama",26.7,42.2,3.0,16.1
46,"Marion, Alabama",19.6,44.3,2.0,12.8
47,"Marshall, Alabama",17.7,38.8,2.2,19.4
48,"Mobile, Alabama",18.1,37.9,1.9,23.2
49,"Monroe, Alabama",33.6,43.3,0.3,13.5
50,"Montgomery, Alabama",17.8,36.4,2.4,33.4
51,"Morgan, Alabama",15.0,40.6,1.3,22.4
52,"Perry, Alabama",33.4,36.9,1.0,22.8
53,"Pickens, Alabama",22.0,42.2,1.1,14.1
54,"Pike, Alabama",25.8,31.2,2.5,23.7
55,"Randolph, Alabama",17.4,43.4,1.1,16.5
56,"Russell, Alabama",19.9,36.3,3.8,17.8
57,"St. Clair, Alabama",12.1,40.3,1.4,16.1
58,"Shelby, Alabama",8.0,39.3,1.2,42.9
59,"Sumter, Alabama",35.9,35.6,0.7,21.6
60,"Talladega, Alabama",19.5,41.3,3.2,15.0
61,"Tallapoosa, Alabama",18.2,44.7,2.9,18.4
62,"Tuscaloosa, Alabama",16.5,33.0,0.5,30.7
63,"Walker, Alabama",17.4,42.1,1.6,11.3
64,"Washington, Alabama",20.8,43.7,0.3,12.7
65,"Wilcox, Alabama",29.7,40.5,1.3,12.5
66,"Winston, Alabama",19.1,45.2,2.7,12.8
67,"Aleutians East, Alaska",13.0,42.5,1.4,11.5
68,"Aleutians West, Alaska",5.5,38.6,1.2,17.0
69,"Anchorage, Alaska",7.6,33.6,1.7,36.1
70,"Bethel, Alaska",24.6,27.3,1.0,11.9
71,"Bristol Bay, Alaska",5.4,42.9,1.7,22.5
72,"Denali, Alaska",8.0,42.1,6.2,41.1
73,"Dillingham, Alaska",17.6,30.2,0.8,22.1
74,"Fairbanks North Star, Alaska",7.3,31.3,2.2,31.4
75,"Haines, Alaska",9.2,44.7,7.8,33.8
76,"Hoonah-Angoon, Alaska",10.9,49.6,4.5,21.3
77,"Juneau, Alaska",6.9,38.1,1.7,38.4
78,"Kenai Peninsula, Alaska",11.3,40.8,2.4,24.6
79,"Ketchikan Gateway, Alaska",8.2,39.7,0.9,25.3
80,"Kodiak Island, Alaska",9.5,33.9,3.3,28.0
81,"Kusilvak, Alaska",37.6,24.1,0.0,3.9
82,"Lake and Peninsula, Alaska",16.6,34.8,1.6,16.1
83,"Matanuska-Susitna, Alaska",10.7,35.2,2.0,21.6
84,"Nome, Alaska",19.7,28.3,0.3,16.1
85,"North Slope, Alaska",11.5,35.2,0.1,16.5
86,"Northwest Arctic, Alaska",22.1,27.8,0.0,13.2
87,"Petersburg, Alaska",5.6,42.8,1.1,28.4
88,"Prince of Wales-Hyder, Alaska",16.2,41.3,2.1,18.3
89,"Sitka, Alaska",8.3,39.5,3.1,33.4
90,"Skagway, Alaska",4.3,40.4,1.0,29.6
91,"Southeast Fairbanks, Alaska",10.6,36.8,3.9,19.7
92,"Valdez-Cordova, Alaska",7.7,38.1,2.8,30.8
93,"Wrangell, Alaska",5.7,49.4,0.4,19.4
94,"Yakutat, Alaska",3.7,36.9,2.7,22.6
95,"Yukon-Koyukuk, Alaska",27.4,35.2,1.9,13.6
96,"Apache, Arizona",34.6,35.0,2.3,12.3
97,"Cochise, Arizona",15.6,41.1,3.8,23.1
98,"Coconino, Arizona",18.1,30.7,2.2,36.2
99,"Gila, Arizona",17.9,50.2,4.0,18.7
100,"Graham, Arizona",21.8,33.6,2.6,15.2
101,"Greenlee, Arizona",11.3,34.5,1.7,13.5
102,"La Paz, Arizona",23.3,56.5,8.9,12.0
103,"Maricopa, Arizona",12.1,36.4,1.7,32.7
104,"Mohave, Arizona",14.4,51.6,2.3,12.9
105,"Navajo, Arizona",25.3,37.3,3.3,15.3
106,"Pima, Arizona",15.4,38.5,1.7,32.4
107,"Pinal, Arizona",12.6,39.3,2.3,19.5
108,"Santa Cruz, Arizona",22.2,36.7,2.6,20.4
109,"Yavapai, Arizona",12.2,53.4,1.5,25.9
110,"Yuma, Arizona",18.5,34.6,1.8,15.0
111,"Arkansas, Arkansas",19.1,40.7,3.9,15.8
112,"Ashley, Arkansas",18.3,41.7,1.3,12.3
113,"Baxter, Arkansas",12.7,52.2,1.4,17.9
114,"Benton, Arkansas",9.3,35.4,1.5,33.4
115,"Boone, Arkansas",14.2,42.3,2.3,16.1
116,"Bradley, Arkansas",19.1,40.6,1.7,14.3
117,"Calhoun, Arkansas",13.6,44.5,1.8,11.4
118,"Carroll, Arkansas",14.5,45.0,2.7,21.2
119,"Chicot, Arkansas",29.1,43.3,4.3,15.9
120,"Clark, Arkansas",20.3,33.7,4.1,26.6
121,"Clay, Arkansas",22.8,42.8,2.5,12.6
122,"Cleburne, Arkansas",13.4,49.4,4.2,15.5
123,"Cleveland, Arkansas",15.4,42.9,0.6,16.2
124,"Columbia, Arkansas",24.5,35.7,2.2,19.6
125,"Conway, Arkansas",17.1,42.5,1.3,15.6
126,"Craighead, Arkansas",15.8,34.2,1.8,26.2
127,"Crawford, Arkansas",16.5,38.6,1.4,16.0
128,"Crittenden, Arkansas",18.8,35.2,1.5,17.4
129,"Cross, Arkansas",17.3,40.9,1.9,14.4
130,"Dallas, Arkansas",19.5,43.9,5.7,11.9
131,"Desha, Arkansas",26.4,40.1,0.9,14.1
132,"Drew, Arkansas",20.9,37.4,5.2,22.8
133,"Faulkner, Arkansas",17.6,32.8,1.4,30.6
134,"Franklin, Arkansas",22.9,41.2,0.9,12.1
135,"Fulton, Arkansas",21.6,48.4,1.4,12.2
136,"Garland, Arkansas",17.2,45.0,2.9,21.6
137,"Grant, Arkansas",14.3,41.0,0.2,18.7
138,"Greene, Arkansas",16.3,38.0,2.5,16.2
139,"Hempstead, Arkansas",19.5,40.4,1.3,15.1
140,"Hot Spring, Arkansas",17.5,41.3,0.7,13.3
141,"Howard, Arkansas",20.1,39.2,2.2,13.6
142,"Independence, Arkansas",15.2,39.3,1.5,17.5
143,"Izard, Arkansas",15.2,47.9,3.1,13.1
144,"Jackson, Arkansas",21.6,39.7,3.0,10.1
145,"Jefferson, Arkansas",21.6,38.7,1.9,18.0
146,"Johnson, Arkansas",20.7,38.4,1.6,15.4
147,"Lafayette, Arkansas",24.0,47.0,0.4,15.8
148,"Lawrence, Arkansas",16.5,40.8,0.3,15.4
149,"Lee, Arkansas",26.8,42.5,2.4,10.7
150,"Lincoln, Arkansas",18.9,39.0,2.3,9.7
151,"Little River, Arkansas",15.0,42.9,1.2,12.5
152,"Logan, Arkansas",17.4,42.0,1.0,13.3
153,"Lonoke, Arkansas",11.9,36.2,2.3,20.6
154,"Madison, Arkansas",16.9,42.7,0.4,14.2
155,"Marion, Arkansas",18.7,52.2,3.8,17.1
156,"Miller, Arkansas",19.8,39.5,1.9,16.8
157,"Mississippi, Arkansas",22.5,36.6,2.9,13.8
158,"Monroe, Arkansas",24.8,47.3,0.6,12.7
159,"Montgomery, Arkansas",20.4,50.4,1.6,13.5
160,"Nevada, Arkansas",23.1,44.3,2.2,14.6
161,"Newton, Arkansas",20.5,49.0,3.1,20.5
162,"Ouachita, Arkansas",23.8,43.0,2.1,14.5
163,"Perry, Arkansas",17.5,43.7,2.7,12.7
164,"Phillips, Arkansas",29.6,38.9,5.3,13.8
165,"Pike, Arkansas",16.5,43.1,1.4,17.3
166,"Poinsett, Arkansas",20.1,40.1,2.4,11.1
167,"Polk, Arkansas",22.6,43.9,2.5,14.1
168,"Pope, Arkansas",18.0,35.3,1.9,22.8
169,"Prairie, Arkansas",15.4,47.2,1.6,15.4
170,"Pulaski, Arkansas",15.8,37.2,2.7,34.3
171,"Randolph, Arkansas",18.8,41.1,2.7,13.8
172,"St. Francis, Arkansas",25.4,38.8,3.1,10.4
173,"Saline, Arkansas",8.9,39.6,1.0,26.7
174,"Scott, Arkansas",21.1,40.7,4.4,9.3
175,"Searcy, Arkansas",24.9,47.9,1.5,11.9
176,"Sebastian, Arkansas",17.2,37.6,2.5,21.3
177,"Sevier, Arkansas",19.4,35.3,0.5,12.8
178,"Sharp, Arkansas",21.0,47.6,1.5,10.2
179,"Stone, Arkansas",19.9,50.1,1.1,13.9
180,"Union, Arkansas",19.2,40.3,1.5,21.1
181,"Van Buren, Arkansas",18.6,48.0,2.6,14.5
182,"Washington, Arkansas",16.8,32.0,1.4,33.3
183,"White, Arkansas",15.9,36.9,2.4,20.9
184,"Woodruff, Arkansas",26.9,45.5,1.3,14.0
185,"Yell, Arkansas",17.0,40.3,1.5,12.8
186,"Alameda, California",9.6,37.6,0.6,47.4
187,"Alpine, California",8.9,52.2,3.8,34.5
188,"Amador, California",9.3,50.5,2.5,19.3
189,"Butte, California",18.3,37.1,2.0,27.2
190,"Calaveras, California",8.9,52.0,3.6,18.3
191,"Colusa, California",13.1,35.3,2.1,15.0
192,"Contra Costa, California",8.3,39.7,0.8,42.4
193,"Del Norte, California",17.4,39.5,2.5,14.8
194,"El Dorado, California",8.5,45.9,1.1,34.3
195,"Fresno, California",20.0,32.2,1.3,21.2
196,"Glenn, California",18.8,36.4,0.1,14.2
197,"Humboldt, California",18.8,38.4,0.9,30.4
198,"Imperial, California",23.9,32.4,1.5,15.2
199,"Inyo, California",9.0,45.8,0.4,27.2
200,"Kern, California",18.9,31.6,2.0,16.4
201,"Kings, California",15.8,31.8,1.3,14.7
202,"Lake, California",17.9,45.6,2.8,15.5
203,"Lassen, California",12.7,36.6,2.9,12.9
204,"Los Angeles, California",14.5,36.5,1.0,32.5
205,"Madera, California",17.4,34.1,2.2,14.6
206,"Marin, California",6.9,46.8,0.5,59.5
207,"Mariposa, California",14.2,51.7,6.3,24.6
208,"Mendocino, California",16.5,43.1,1.2,24.4
209,"Merced, California",19.2,31.1,0.9,13.8
210,"Modoc, California",16.2,47.8,5.8,15.2
211,"Mono, California",7.4,37.7,6.5,28.8
212,"Monterey, California",11.4,34.4,1.4,24.7
213,"Napa, California",7.8,41.3,1.0,35.7
214,"Nevada, California",10.2,50.5,2.0,37.2
215,"Orange, California",9.9,38.1,1.0,40.6
216,"Placer, California",8.1,42.0,1.0,39.7
217,"Plumas, California",14.4,52.3,4.7,23.7
218,"Riverside, California",13.2,35.6,1.9,22.3
219,"Sacramento, California",13.4,36.2,1.1,30.9
220,"San Benito, California",8.3,35.7,0.4,19.7
221,"San Bernardino, California",14.8,33.3,1.7,21.0
222,"San Diego, California",10.5,35.8,1.1,38.8
223,"San Francisco, California",10.9,38.2,0.8,58.1
224,"San Joaquin, California",14.0,34.3,0.8,18.8
225,"San Luis Obispo, California",12.0,39.2,1.6,35.4
226,"San Mateo, California",6.2,39.7,0.6,51.0
227,"Santa Barbara, California",12.3,33.8,0.8,34.2
228,"Santa Clara, California",7.4,37.1,0.4,52.4
229,"Santa Cruz, California",11.8,37.8,0.8,40.8
230,"Shasta, California",15.6,41.5,0.9,22.2
231,"Sierra, California",7.4,54.8,4.1,17.9
232,"Siskiyou, California",17.6,47.8,1.8,23.2
233,"Solano, California",9.1,38.1,0.8,26.9
234,"Sonoma, California",8.5,42.1,0.8,35.5
235,"Stanislaus, California",13.9,34.1,1.1,17.1
236,"Sutter, California",14.5,35.7,1.8,18.2
237,"Tehama, California",20.1,41.0,2.1,15.7
238,"Trinity, California",18.4,52.5,3.3,19.5
239,"Tulare, California",21.2,31.0,1.1,14.6
240,"Tuolumne, California",13.8,48.4,2.3,20.5
241,"Ventura, California",8.3,38.1,1.1,33.8
242,"Yolo, California",17.4,31.0,0.8,41.4
243,"Yuba, California",15.8,32.8,1.1,17.1
244,"Adams, Colorado",9.6,33.8,1.0,24.3
245,"Alamosa, Colorado",26.6,31.8,0.9,25.0
246,"Arapahoe, Colorado",7.8,36.6,0.6,42.8
247,"Archuleta, Colorado",8.7,50.9,4.1,37.2
248,"Baca, Colorado",21.1,46.0,1.8,21.4
249,"Bent, Colorado",26.1,40.2,7.4,11.4
250,"Boulder, Colorado",11.5,36.6,0.6,62.1
251,"Broomfield, Colorado",6.0,37.8,0.6,55.7
252,"Chaffee, Colorado",12.2,49.2,3.5,33.8
253,"Cheyenne, Colorado",13.2,39.4,1.8,19.2
254,"Clear Creek, Colorado",8.9,48.1,0.3,48.1
255,"Conejos, Colorado",20.1,38.8,0.9,21.0
256,"Costilla, Colorado",27.6,51.9,1.3,19.3
257,"Crowley, Colorado",22.9,35.4,2.3,9.0
258,"Custer, Colorado",13.5,59.7,10.6,32.5
259,"Delta, Colorado",17.6,47.3,2.8,21.7
260,"Denver, Colorado",12.1,34.5,0.8,49.4
261,"Dolores, Colorado",11.6,48.8,7.2,24.1
262,"Douglas, Colorado",3.3,38.7,0.9,58.0
263,"Eagle, Colorado",7.5,37.0,1.7,47.2
264,"Elbert, Colorado",5.1,46.1,0.2,35.8
265,"El Paso, Colorado",9.9,34.2,1.1,38.5
266,"Fremont, Colorado",15.0,45.1,1.6,18.5
267,"Garfield, Colorado",9.1,36.5,2.5,31.0
268,"Gilpin, Colorado",4.7,49.0,2.4,39.6
269,"Grand, Colorado",6.8,42.9,2.5,38.0
270,"Gunnison, Colorado",13.2,34.5,3.7,56.2
271,"Hinsdale, Colorado",8.8,56.1,11.1,45.7
272,"Huerfano, Colorado",16.5,55.0,5.9,21.1
273,"Jackson, Colorado",8.8,51.6,3.6,20.0
274,"Jefferson, Colorado",7.1,40.3,0.6,45.2
275,"Kiowa, Colorado",15.0,42.5,0.0,21.4
276,"Kit Carson, Colorado",6.6,38.3,0.7,18.7
277,"Lake, Colorado",12.9,36.7,0.4,32.3
278,"La Plata, Colorado",9.9,40.4,3.1,44.2
279,"Larimer, Colorado",11.6,36.0,0.7,47.3
280,"Las Animas, Colorado",20.9,45.9,1.8,19.5
281,"Lincoln, Colorado",15.2,38.0,3.7,12.6
282,"Logan, Colorado",13.5,38.2,0.6,20.2
283,"Mesa, Colorado",13.7,39.7,1.2,28.2
284,"Mineral, Colorado",13.9,56.1,10.9,46.5
285,"Moffat, Colorado",18.9,36.6,2.4,17.6
286,"Montezuma, Colorado",13.4,45.2,3.6,29.6
287,"Montrose, Colorado",15.2,45.2,1.4,25.2
288,"Morgan, Colorado",12.5,36.2,1.2,17.5
289,"Otero, Colorado",25.2,39.9,0.3,18.6
290,"Ouray, Colorado",8.1,54.1,3.1,47.8
291,"Park, Colorado",5.3,50.7,2.8,29.8
292,"Phillips, Colorado",7.0,37.1,4.4,23.8
293,"Pitkin, Colorado",7.1,41.8,1.3,60.8
294,"Prowers, Colorado",18.1,38.3,1.4,18.3
295,"Pueblo, Colorado",17.9,39.3,1.6,21.8
296,"Rio Blanco, Colorado",10.3,36.9,5.2,22.7
297,"Rio Grande, Colorado",20.1,42.1,3.2,24.5
298,"Routt, Colorado",10.4,40.2,2.2,49.8
299,"Saguache, Colorado",20.5,49.0,3.3,22.1
300,"San Juan, Colorado",9.3,51.2,9.0,35.7
301,"San Miguel, Colorado",10.1,41.8,4.8,59.4
302,"Sedgwick, Colorado",18.0,44.1,0.7,19.5
303,"Summit, Colorado",5.9,39.1,1.0,52.4
304,"Teller, Colorado",8.4,50.0,2.0,37.7
305,"Washington, Colorado",12.1,41.6,1.7,15.4
306,"Weld, Colorado",9.9,34.4,0.5,27.5
307,"Yuma, Colorado",12.2,37.8,1.8,21.8
308,"Fairfield, Connecticut",9.0,40.6,2.1,47.9
309,"Hartford, Connecticut",11.1,40.4,1.4,38.1
310,"Litchfield, Connecticut",6.8,47.3,1.9,35.4
311,"Middlesex, Connecticut",7.6,45.7,1.8,42.2
312,"New Haven, Connecticut",11.5,40.3,1.6,35.0
313,"New London, Connecticut",9.3,41.4,2.2,33.3
314,"Tolland, Connecticut",8.5,37.7,1.5,41.8
315,"Windham, Connecticut",11.7,41.2,1.8,24.3
316,"Kent, Delaware",13.1,37.7,2.3,23.7
317,"New Castle, Delaware",10.8,38.4,1.3,36.2
318,"Sussex, Delaware",10.5,49.6,2.5,28.3
319,"District of Columbia, District of Columbia",14.6,34.0,1.6,58.5
320,"Alachua, Florida",20.2,31.6,3.5,43.3
321,"Baker, Florida",11.9,37.7,0.0,13.2
322,"Bay, Florida",13.5,39.8,2.4,23.7
323,"Bradford, Florida",22.0,39.7,1.1,9.9
324,"Brevard, Florida",10.7,47.3,1.8,30.2
325,"Broward, Florida",12.8,40.4,1.9,32.4
326,"Calhoun, Florida",18.1,41.6,1.3,9.5
327,"Charlotte, Florida",10.0,59.1,2.5,23.4
328,"Citrus, Florida",14.6,56.5,2.4,18.3
329,"Clay, Florida",9.6,39.7,1.5,24.9
330,"Collier, Florida",9.2,50.8,3.3,36.4
331,"Columbia, Florida",15.2,40.4,1.4,14.9
332,"DeSoto, Florida",20.2,40.9,1.0,11.5
333,"Dixie, Florida",22.9,46.5,2.6,10.4
334,"Duval, Florida",13.5,36.2,2.3,30.0
335,"Escambia, Florida",12.5,37.2,2.1,26.5
336,"Flagler, Florida",10.4,51.3,2.1,25.1
337,"Franklin, Florida",18.3,46.4,2.7,18.8
338,"Gadsden, Florida",18.5,40.8,0.7,16.2
339,"Gilchrist, Florida",15.1,42.1,2.0,13.4
340,"Glades, Florida",14.7,47.9,3.1,11.2
341,"Gulf, Florida",13.8,44.9,5.3,19.2
342,"Hamilton, Florida",27.6,40.9,2.9,7.9
343,"Hardee, Florida",22.2,35.4,4.3,10.2
344,"Hendry, Florida",22.4,34.0,1.5,8.3
345,"Hernando, Florida",13.5,49.0,2.4,18.4
346,"Highlands, Florida",15.9,53.5,3.8,17.2
347,"Hillsborough, Florida",13.7,37.2,1.8,33.5
348,"Holmes, Florida",24.1,42.7,0.3,10.7
349,"Indian River, Florida",10.7,53.5,2.9,29.1
350,"Jackson, Florida",21.3,41.7,1.6,12.6
351,"Jefferson, Florida",16.7,48.0,0.9,22.3
352,"Lafayette, Florida",18.8,37.3,2.9,11.8
353,"Lake, Florida",10.8,46.9,2.4,24.0
354,"Lee, Florida",11.4,48.5,2.8,28.2
355,"Leon, Florida",19.5,31.0,2.2,46.2
356,"Levy, Florida",21.0,46.9,1.5,12.2
357,"Liberty, Florida",17.2,40.7,1.5,14.4
358,"Madison, Florida",25.1,43.5,3.0,14.0
359,"Manatee, Florida",10.2,48.3,2.4,29.8
360,"Marion, Florida",14.1,48.7,2.2,20.1
361,"Martin, Florida",9.2,52.2,1.7,34.1
362,"Miami-Dade, Florida",18.3,39.9,1.9,29.8
363,"Monroe, Florida",10.0,47.7,2.8,34.4
364,"Nassau, Florida",10.2,45.3,1.1,29.6
365,"Okaloosa, Florida",9.9,36.9,1.5,31.1
366,"Okeechobee, Florida",18.5,41.1,3.2,11.3
367,"Orange, Florida",14.1,35.1,3.6,34.6
368,"Osceola, Florida",14.0,35.9,2.9,21.8
369,"Palm Beach, Florida",11.4,44.8,1.9,36.7
370,"Pasco, Florida",12.9,44.5,2.7,24.0
371,"Pinellas, Florida",11.7,48.1,2.3,31.7
372,"Polk, Florida",14.2,40.2,2.6,20.2
373,"Putnam, Florida",22.5,45.1,4.0,12.3
374,"St. Johns, Florida",7.9,43.7,1.8,44.7
375,"St. Lucie, Florida",12.9,45.1,2.3,21.6
376,"Santa Rosa, Florida",9.5,39.9,1.8,27.7
377,"Sarasota, Florida",8.5,56.1,2.1,35.4
378,"Seminole, Florida",10.5,39.2,2.0,39.6
379,"Sumter, Florida",8.4,67.4,2.1,31.8
380,"Suwannee, Florida",16.2,43.3,3.6,15.5
381,"Taylor, Florida",19.6,42.0,3.4,8.3
382,"Union, Florida",20.4,39.3,0.4,9.2
383,"Volusia, Florida",13.7,46.6,2.1,23.7
384,"Wakulla, Florida",11.0,40.6,3.3,18.3
385,"Walton, Florida",12.3,44.0,2.4,28.5
386,"Washington, Florida",21.5,41.5,1.2,12.5
387,"Appling, Georgia",22.0,40.3,0.4,9.8
388,"Atkinson, Georgia",25.7,36.4,1.1,12.2
389,"Bacon, Georgia",25.1,36.7,1.0,10.5
390,"Baker, Georgia",25.6,46.1,5.7,12.9
391,"Baldwin, Georgia",21.3,35.5,1.5,23.3
392,"Banks, Georgia",14.5,41.1,0.7,13.4
393,"Barrow, Georgia",11.4,35.7,2.2,19.0
394,"Bartow, Georgia",13.1,38.1,2.5,18.6
395,"Ben Hill, Georgia",29.5,39.9,3.5,11.2
396,"Berrien, Georgia",25.2,39.6,0.7,11.4
397,"Bibb, Georgia",24.1,36.4,2.5,25.4
398,"Bleckley, Georgia",16.7,35.8,0.8,18.7
399,"Brantley, Georgia",19.0,41.1,0.7,8.9
400,"Brooks, Georgia",22.5,42.0,1.3,17.8
401,"Bryan, Georgia",11.6,34.6,3.3,33.1
402,"Bulloch, Georgia",24.5,28.8,1.3,27.0
403,"Burke, Georgia",20.4,37.4,1.2,13.2
404,"Butts, Georgia",20.6,38.6,5.0,12.2
405,"Calhoun, Georgia",28.6,39.6,1.0,9.1
406,"Camden, Georgia",14.0,32.8,1.6,23.9
407,"Candler, Georgia",29.3,38.7,0.8,13.0
408,"Carroll, Georgia",16.2,34.8,1.3,21.1
409,"Catoosa, Georgia",10.3,40.4,2.0,21.4
410,"Charlton, Georgia",18.8,41.2,1.0,8.8
411,"Chatham, Georgia",14.3,35.6,2.4,33.6
412,"Chattahoochee, Georgia",18.7,24.5,0.0,29.5
413,"Chattooga, Georgia",19.6,39.4,2.1,8.9
414,"Cherokee, Georgia",7.5,38.7,1.4,38.2
415,"Clarke, Georgia",27.5,28.0,1.8,44.0
416,"Clay, Georgia",32.4,49.8,3.0,12.5
417,"Clayton, Georgia",16.3,32.5,1.9,19.5
418,"Clinch, Georgia",37.1,39.9,1.8,10.0
419,"Cobb, Georgia",8.4,36.7,1.6,47.4
420,"Coffee, Georgia",21.1,36.3,0.8,13.0
421,"Colquitt, Georgia",22.5,36.8,3.7,12.8
422,"Columbia, Georgia",6.6,36.9,4.7,36.4
423,"Cook, Georgia",23.4,37.3,0.8,13.5
424,"Coweta, Georgia",10.1,39.0,1.3,30.3
425,"Crawford, Georgia",20.7,44.4,0.7,10.5
426,"Crisp, Georgia",29.1,38.5,3.0,14.1
427,"Dade, Georgia",14.0,42.6,1.6,15.2
428,"Dawson, Georgia",8.3,43.6,1.9,30.6
429,"Decatur, Georgia",23.0,37.8,1.2,13.8
430,"DeKalb, Georgia",12.7,35.8,1.6,44.2
431,"Dodge, Georgia",22.2,41.8,0.3,14.3
432,"Dooly, Georgia",21.9,43.2,0.4,12.1
433,"Dougherty, Georgia",25.8,35.6,2.7,21.4
434,"Douglas, Georgia",11.5,36.5,1.7,28.2
435,"Early, Georgia",28.2,39.9,0.5,15.1
436,"Echols, Georgia",25.6,40.6,1.9,9.7
437,"Effingham, Georgia",9.8,36.0,0.5,20.0
438,"Elbert, Georgia",20.8,42.6,3.3,11.6
439,"Emanuel, Georgia",23.2,36.9,0.9,13.0
440,"Evans, Georgia",26.1,37.6,0.9,15.8
441,"Fannin, Georgia",14.8,52.1,6.6,21.8
442,"Fayette, Georgia",5.6,43.4,0.8,46.2
443,"Floyd, Georgia",17.2,38.3,1.8,20.9
444,"Forsyth, Georgia",5.9,38.5,1.0,53.1
445,"Franklin, Georgia",22.3,41.2,2.8,15.9
446,"Fulton, Georgia",12.6,35.5,2.3,52.9
447,"Gilmer, Georgia",16.3,47.2,2.5,20.4
448,"Glascock, Georgia",17.7,42.7,0.0,11.6
449,"Glynn, Georgia",16.2,41.6,2.0,29.9
450,"Gordon, Georgia",17.4,38.4,1.4,14.7
451,"Grady, Georgia",20.0,40.3,2.0,13.9
452,"Greene, Georgia",16.6,50.2,2.9,26.9
453,"Gwinnett, Georgia",9.7,35.3,1.5,36.9
454,"Habersham, Georgia",16.2,39.7,2.3,19.3
455,"Hall, Georgia",11.8,36.7,1.7,24.5
456,"Hancock, Georgia",20.6,45.6,5.1,8.6
457,"Haralson, Georgia",16.1,40.4,3.2,14.8
458,"Harris, Georgia",6.7,42.9,2.0,31.4
459,"Hart, Georgia",17.0,44.1,3.2,15.7
460,"Heard, Georgia",15.9,41.9,0.4,8.7
461,"Henry, Georgia",8.0,36.9,1.1,28.5
462,"Houston, Georgia",13.1,35.4,1.7,28.3
463,"Irwin, Georgia",20.1,39.7,0.0,15.1
464,"Jackson, Georgia",11.1,38.1,1.7,22.7
465,"Jasper, Georgia",16.0,43.0,3.0,14.2
466,"Jeff Davis, Georgia",22.6,36.6,1.7,10.3
467,"Jefferson, Georgia",23.8,40.0,1.8,9.9
468,"Jenkins, Georgia",26.6,44.3,3.1,7.9
